Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
15752,-19222,22389,-25205,27626,-29612,31134,-32167
17521,-21240,24537,-27346,29612,-31290,32346,-32760
19222,-23128,26467,-29158,31134,-32346,32766,-32383
20846,-24874,28164,-30619,32167,-32760,32383,-31045
22389,-26467,29612,-31713,32695,-32524,31206,-28787
23844,-27898,30798,-32424,32709,-31641,29264,-25676
25205,-29158,31713,-32747,32210,-30130,26604,-21803
26467,-30239,32346,-32675,31206,-28020,23293,-17284
27626,-31134,32695,-32210,29711,-25354,19410,-12253
28675,-31838,32754,-31359,27750,-22184,15052,-6858
29612,-32346,32524,-30130,25354,-18573,10325,-1260
30433,-32657,32006,-28539,22559,-14594,5344,4375
31134,-32766,31206,-26604,19410,-10325,233,9881
31713,-32675,30130,-24350,15957,-5850,-4883,15093
32167,-32383,28787,-21803,12253,-1260,-9881,19859
32494,-31892,27191,-18994,8356,3355,-14636,24035
32695,-31206,25354,-15957,4329,7904,-19032,27499
32766,-30328,23293,-12727,233,12296,-22962,30148
32709,-29264,21026,-9345,-3865,16444,-26329,31903
32524,-28020,18573,-5850,-7904,20265,-29051,32712
32210,-26604,15957,-2285,-11818,23683,-31060,32551
31770,-25025,13199,1306,-15547,26632,-32308,31425
31206,-23293,10325,4883,-19032,29051,-32765,29368
30518,-21417,7359,8401,-22218,30893,-32418,26440
29711,-19410,4329,11818,-25055,32121,-31276,22728
28787,-17284,1260,15093,-27499,32712,-29368,18342
27750,-15052,-1819,18187,-29511,32653,-26740,13412
26604,-12727,-4883,21062,-31060,31945,-23456,8085
25354,-10325,-7904,23683,-32121,30603,-19598,2518
24004,-7859,-10855,26020,-32678,28653,-15259,-3123
22559,-5344,-13710,28044,-32722,26133,-10546,-8672
21026,-2797,-16444,29731,-32252,23095,-5574,-13964
19410,-233,-19032,31060,-31276,19598,-466,-18842
17718,2332,-21453,32016,-29809,15711,4652,-23161
15957,4883,-23683,32587,-27874,11513,9658,-26794
14132,7405,-25705,32766,-25501,7086,14427,-29632
12253,9881,-27499,32551,-22728,2518,18842,-31592
10325,12296,-29051,31945,-19598,-2099,22795,-32615
8356,14636,-30345,30955,-16160,-6675,26189,-32671
6355,16886,-31372,29592,-12469,-11119,28942,-31759
4329,19032,-32121,27874,-8582,-15341,30985,-29905
2285,21062,-32587,25820,-4560,-19259,32269,-27165
233,22962,-32765,23456,-466,-22795,32761,-23619
-1819,24721,-32653,20810,3633,-25878,32451,-19373
-3865,26329,-32252,17914,7677,-28446,31345,-14552
-5896,27775,-31567,14803,11600,-30450,29471,-9300
-7904,29051,-30603,11513,15341,-31849,26874,-3773
-9881,30148,-29368,8085,18842,-32615,23619,1866
-11818,31060,-27874,4560,22046,-32734,19784,7450
-13710,31782,-26133,980,24904,-32202,15465,12813
-15547,32308,-24162,-2611,27372,-31030,10767,17797
-17324,32637,-21977,-6172,29409,-29243,5804,22252
-19032,32765,-19598,-9658,30985,-26874,700,26049
-20666,32691,-17046,-13028,32075,-23972,-4421,29072
-22218,32418,-14343,-16241,32660,-20593,-9434,31234
-23683,31945,-11513,-19259,32734,-16806,-14217,32470
-25055,31276,-8582,-22046,32293,-12684,-18650,32743
-26329,30415,-5574,-24568,31345,-8311,-22627,32046
-27499,29368,-2518,-26794,29905,-3773,-26049,30398
-28561,28140,560,-28698,27996,840,-28832,27849
-29511,26740,3633,-30257,25647,5436,-30908,24475
-30345,25175,6675,-31452,22895,9925,-32227,20375
-31060,23456,9658,-32269,19784,14217,-32756,15670
-31653,21593,12555,-32698,16363,18226,-32482,10502
-32121,19598,15341,-32734,12684,21873,-31412,5022
-32464,17482,17992,-32376,8807,25085,-29572,-606
-32678,15259,20484,-31629,4791,27800,-27007,-6217
-32765,12942,22795,-30501,700,29962,-23780,-11644
-32722,10546,24904,-29007,-3401,31529,-19970,-16725
-32551,8085,26794,-27165,-7450,32470,-15670,-21311
-32252,5574,28446,-24995,-11382,32766,-10987,-25265
-31827,3030,29848,-22525,-15135,32411,-6034,-28469
-31276,466,30985,-19784,-18650,31412,-933,-30830
-30603,-2099,31849,-16806,-21873,29790,4190,-32277
-29809,-4652,32431,-13625,-24752,27575,9211,-32766
-28898,-7177,32727,-10280,-27243,24813,14006,-32285
-27874,-9658,32734,-6812,-29306,21558,18458,-30846
-26740,-12079,32451,-3262,-30908,17875,22457,-28493
-25501,-14427,31881,326,-32026,13837,25906,-25294
-24162,-16685,31030,3912,-32641,9524,28720,-21346
-22728,-18842,29905,7450,-32743,5022,30830,-16766
-21204,-20882,28516,10899,-32331,420,32184,-11688
-19598,-22795,26874,14217,-31412,-4190,32750,-6263
-17914,-24568,24995,17363,-30000,-8717,32512,-653
-16160,-26189,22895,20301,-28116,-13071,31478,4975
-14343,-27651,20593,22995,-25791,-17165,29672,10457
-12469,-28942,18109,25413,-23062,-20918,27138,15629
-10546,-30056,15465,27525,-19970,-24256,23940,20338
-8582,-30985,12684,29306,-16565,-27112,20154,24444
-6584,-31724,9791,30734,-12899,-29430,15875,27825
-4560,-32269,6812,31793,-9031,-31163,11206,30381
-2518,-32615,3773,32470,-5022,-32277,6263,32036
-466,-32761,700,32756,-933,-32750,1166,32741
1586,-32706,-2378,32649,3169,-32572,-3958,32476
3633,-32451,-5436,32149,7223,-31747,-8986,31248
5666,-31996,-8446,31262,11163,-30292,-13795,29094
7677,-31345,-11382,30000,14927,-28235,-18264,26077
9658,-30501,-14217,28377,18458,-25618,-22287,22287
11600,-29471,-16926,26412,21698,-22491,-25763,17836
13497,-28259,-19485,24130,24598,-18918,-28607,12856
15341,-26874,-21873,21558,27112,-14969,-30750,7496
17125,-25324,-24067,18727,29200,-10723,-32140,1912
18842,-23619,-26049,15670,30830,-6263,-32741,-3726
20484,-21768,-27800,12426,31976,-1679,-32540,-9255
22046,-19784,-29306,9031,32620,2937,-31542,-14510
23521,-17679,-30552,5528,32751,7496,-29770,-19335
24904,-15465,-31529,1959,32369,11905,-27269,-23586
26189,-13156,-32227,-1633,31478,16079,-24099,-27138
27372,-10767,-32641,-5206,30093,19933,-20338,-29886
28446,-8311,-32766,-8717,28235,23391,-16079,-31747
29409,-5804,-32601,-12123,25935,26385,-11426,-32668
30257,-3262,-32149,-15383,23227,28854,-6492,-32620
30985,-700,-31412,-18458,20154,30750,-1400,-31604
31592,1866,-30398,-21311,16766,32036,3726,-29652
32075,4421,-29115,-23908,13113,32685,8762,-26821
32431,6949,-27575,-26217,9255,32685,13582,-23194
32660,9434,-25791,-28212,5252,32036,18070,-18880
32761,11862,-23780,-29867,1166,30750,22115,-14006
32734,14217,-21558,-31163,-2937,28854,25618,-8717
32577,16484,-19146,-32084,-6995,26385,28493,-3169
32293,18650,-16565,-32620,-10943,23391,30669,2471
31881,20702,-13837,-32763,-14719,19933,32093,8040
31345,22627,-10987,-32512,-18264,16079,32731,13370
30685,24413,-8040,-31871,-21523,11905,32567,18303
29905,26049,-5022,-30846,-24444,7496,31604,22694
29007,27525,-1959,-29450,-26980,2937,29867,26412
27996,28832,1120,-27701,-29094,-1679,27397,29347
26874,29962,4190,-25618,-30750,-6263,24256,31412
25647,30908,7223,-23227,-31924,-10723,20521,32546
24319,31665,10192,-20557,-32597,-14969,16282,32715
22895,32227,13071,-17640,-32757,-18918,11644,31914
21382,32592,15834,-14510,-32404,-22491,6721,30166
19784,32756,18458,-11206,-31542,-25618,1633,27525
18109,32720,20918,-7768,-30184,-28235,-3494,24067
16363,32482,23194,-4236,-28353,-30292,-8537,19896
14552,32046,25265,-653,-26077,-31747,-13370,15135
12684,31412,27112,2937,-23391,-32572,-17875,9925
10767,30586,28720,6492,-20338,-32750,-21942,4421
8807,29572,30074,9970,-16966,-32277,-25472,-1213
6812,28377,31163,13327,-13327,-31163,-28377,-6812
4791,27007,31976,16524,-9479,-29430,-30586,-12209
2751,25472,32506,19523,-5482,-27112,-32046,-17244
700,23780,32750,22287,-1400,-24256,-32720,-21768
-1353,21942,32704,24783,2704,-20918,-32592,-25647
-3401,19970,32369,26980,6766,-17165,-31665,-28765
-5436,17875,31747,28854,10723,-13071,-29962,-31030
-7450,15670,30846,30381,14510,-8717,-27525,-32376
-9434,13370,29672,31542,18070,-4190,-24413,-32761
-11382,10987,28235,32324,21346,420,-20702,-32176
-13284,8537,26550,32717,24288,5022,-16484,-30636
-15135,6034,24629,32717,26847,9524,-11862,-28188
-16926,3494,22491,32324,28986,13837,-6949,-24904
-18650,933,20154,31542,30669,17875,-1866,-20882
-20301,-1633,17640,30381,31871,21558,3262,-16241
-21873,-4190,14969,28854,32572,24813,8311,-11119
-23358,-6721,12166,26980,32762,27575,13156,-5666
-24752,-9211,9255,24783,32438,29790,17679,-46
-26049,-11644,6263,22287,31604,31412,21768,5574
-27243,-14006,3216,19523,30275,32411,25324,11031
-28330,-16282,140,16524,28469,32766,28259,16160
-29306,-18458,-2937,13327,26217,32470,30501,20810
-30166,-20521,-5988,9970,23554,31529,31996,24844
-30908,-22457,-8986,6492,20521,29962,32706,28140
-31529,-24256,-11905,2937,17165,27800,32615,30603
-32026,-25906,-14719,-653,13540,25085,31724,32158
-32397,-27397,-17403,-4236,9702,21873,30056,32760
-32641,-28720,-19933,-7768,5712,18226,27651,32390
-32756,-29867,-22287,-11206,1633,14217,24568,31060
-32743,-30830,-24444,-14510,-2471,9925,20882,28810
-32601,-31604,-26385,-17640,-6538,5436,16685,25705
-32331,-32184,-28092,-20557,-10502,840,12079,21838
-31935,-32567,-29552,-23227,-14301,-3773,7177,17324
-31412,-32750,-30750,-25618,-17875,-8311,2099,12296
-30766,-32731,-31677,-27701,-21169,-12684,-3030,6903
-30000,-32512,-32324,-29450,-24130,-16806,-8085,1306
-29115,-32093,-32685,-30846,-26713,-20593,-12942,-4329
-28116,-31478,-32757,-31871,-28876,-23972,-17482,-9836
-27007,-30669,-32540,-32512,-30586,-26874,-21593,-15052
-25791,-29672,-32036,-32763,-31816,-29243,-25175,-19822
-24475,-28493,-31248,-32620,-32546,-31030,-28140,-24004
-23062,-27138,-30184,-32084,-32765,-32202,-30415,-27474
-21558,-25618,-28854,-31163,-32470,-32734,-31945,-30130
-19970,-23940,-27269,-29867,-31665,-32615,-32691,-31892
-18303,-22115,-25442,-28212,-30363,-31849,-32637,-32709
-16565,-20154,-23391,-26217,-28584,-30450,-31782,-32557
-14761,-18070,-21133,-23908,-26357,-28446,-30148,-31439
-12899,-15875,-18689,-21311,-23716,-25878,-27775,-29389
-10987,-13582,-16079,-18458,-20702,-22795,-24721,-26467
-9031,-11206,-13327,-15383,-17363,-19259,-21062,-22761
-7040,-8762,-10457,-12123,-13752,-15341,-16886,-18381
-5022,-6263,-7496,-8717,-9925,-11119,-12296,-13455
-2983,-3726,-4467,-5206,-5942,-6675,-7405,-8130
-933,-1166,-1400,-1633,-1866,-2099,-2332,-2565
1120,1400,1679,1959,2239,2518,2797,3076
3169,3958,4745,5528,6309,7086,7859,8627
5206,6492,7768,9031,10280,11513,12727,13921
7223,8986,10723,12426,14090,15711,17284,18803
9211,11426,13582,15670,17679,19598,21417,23128
11163,13795,16322,18727,20990,23095,25025,26767
13071,16079,18918,21558,23972,26133,28020,29612
14927,18264,21346,24130,26577,28653,30328,31579
16725,20338,23586,26412,28765,30603,31892,32611
18458,22287,25618,28377,30501,31945,32675,32675
20118,24099,27423,30000,31759,32653,32657,31770
21698,25763,28986,31262,32518,32712,31838,29924
23194,27269,30292,32149,32766,32121,30239,27191
24598,28607,31331,32649,32500,30893,27898,23651
25906,29770,32093,32756,31724,29051,24874,19410
27112,30750,32572,32470,30450,26632,21240,14594
28212,31542,32763,31793,28698,23683,17085,9345
29200,32140,32664,30734,26495,20265,12512,3819
30074,32540,32277,29306,23876,16444,7632,-1819
30830,32741,31604,27525,20882,12296,2565,-7405
31465,32741,30652,25413,17561,7904,-2565,-12770
31976,32540,29430,22995,13964,3355,-7632,-17758
32361,32140,27947,20301,10147,-1260,-12512,-22218
32620,31542,26217,17363,6172,-5850,-17085,-26020
32750,30750,24256,14217,2099,-10325,-21240,-29051
32751,29770,22081,10899,-2006,-14594,-24874,-31220
32624,28607,19710,7450,-6080,-18573,-27898,-32464
32369,27269,17165,3912,-10058,-22184,-30239,-32745
31986,25763,14468,326,-13879,-25354,-31838,-32055
31478,24099,11644,-3262,-17482,-28020,-32657,-30415
30846,22287,8717,-6812,-20810,-30130,-32675,-27874
30093,20338,5712,-10280,-23812,-31641,-31892,-24506
29222,18264,2658,-13625,-26440,-32524,-30328,-20411
28235,16079,-420,-16806,-28653,-32760,-28020,-15711
27138,13795,-3494,-19784,-30415,-32346,-25025,-10546
25935,11426,-6538,-22525,-31701,-31290,-21417,-5068
24629,8986,-9524,-24995,-32488,-29612,-17284,560
23227,6492,-12426,-27165,-32766,-27346,-12727,6172
21733,3958,-15218,-29007,-32529,-24537,-7859,11600
20154,1400,-17875,-30501,-31782,-21240,-2797,16685
18496,-1166,-20375,-31629,-30535,-17521,2332,21276
16766,-3726,-22694,-32376,-28810,-13455,7405,25235
14969,-6263,-24813,-32734,-26632,-9121,12296,28446
13113,-8762,-26713,-32698,-24035,-4606,16886,30814
11206,-11206,-28377,-32269,-21062,0,21062,32269
9255,-13582,-29790,-31452,-17758,4606,24721,32766
7268,-15875,-30939,-30257,-14174,9121,27775,32293
5252,-18070,-31816,-28698,-10369,13455,30148,30862
3216,-20154,-32411,-26794,-6401,17521,31782,28516
1166,-22115,-32720,-24568,-2332,21240,32637,25324
-886,-23940,-32739,-22046,1773,24537,32691,21382
-2937,-25618,-32470,-19259,5850,27346,31945,16806
-4975,-27138,-31914,-16241,9836,29612,30415,11731
-6995,-28493,-31075,-13028,13667,31290,28140,6309
-8986,-29672,-29962,-9658,17284,32346,25175,700
-10943,-30669,-28584,-6172,20630,32760,21593,-4929
-12856,-31478,-26954,-2611,23651,32524,17482,-10413
-14719,-32093,-25085,980,26301,31641,12942,-15588
-16524,-32512,-22995,4560,28539,30130,8085,-20301
-18264,-32731,-20702,8085,30328,28020,3030,-24413
-19933,-32750,-18226,11513,31641,25354,-2099,-27800
-21523,-32567,-15588,14803,32457,22184,-7177,-30363
-23029,-32184,-12813,17914,32764,18573,-12079,-32026
-24444,-31604,-9925,20810,32557,14594,-16685,-32739
-25763,-30830,-6949,23456,31838,10325,-20882,-32482
-26980,-29867,-3912,25820,30619,5850,-24568,-31262
-28092,-28720,-840,27874,28920,1260,-27651,-29115
-29094,-27397,2239,29592,26767,-3355,-30056,-26105
-29981,-25906,5298,30955,24193,-7904,-31724,-22321
-30750,-24256,8311,31945,21240,-12296,-32615,-17875
-31399,-22457,11250,32551,17953,-16444,-32706,-12899
-31924,-20521,14090,32766,14385,-20265,-31996,-7541
-32324,-18458,16806,32587,10590,-23683,-30501,-1959
-32597,-16282,19373,32016,6629,-26632,-28259,3680
-32741,-14006,21768,31060,2565,-29051,-25324,9211
-32757,-11644,23972,29731,-1540,-30893,-21768,14468
-32645,-9211,25963,28044,-5620,-32121,-17679,19297
-32404,-6721,27725,26020,-9613,-32712,-13156,23554
-32036,-4190,29243,23683,-13455,-32653,-8311,27112
-31542,-1633,30501,21062,-17085,-31945,-3262,29867
-30924,933,31491,18187,-20448,-30603,1866,31736
-30184,3494,32202,15093,-23489,-28653,6949,32664
-29326,6034,32628,11818,-26161,-26133,11862,32624
-28353,8537,32766,8401,-28423,-23095,16484,31617
-27269,10987,32615,4883,-30239,-19598,20702,29672
-26077,13370,32176,1306,-31579,-15711,24413,26847
-24783,15670,31452,-2285,-32424,-11513,27525,23227
-23391,17875,30450,-5850,-32760,-7086,29962,18918
-21908,19970,29179,-9345,-32582,-2518,31665,14048
-20338,21942,27651,-12727,-31892,2099,32592,8762
-18689,23780,25878,-15957,-30702,6675,32720,3216
-16966,25472,23876,-18994,-29029,11119,32046,-2425
-15176,27007,21663,-21803,-26901,15341,30586,-7994
-13327,28377,19259,-24350,-24350,19259,28377,-13327
-11426,29572,16685,-26604,-21417,22795,25472,-18264
-9479,30586,13964,-28539,-18148,25878,21942,-22660
-7496,31412,11119,-30130,-14594,28446,17875,-26385
-5482,32046,8175,-31359,-10811,30450,13370,-29326
-3448,32482,5160,-32210,-6858,31849,8537,-31399
-1400,32720,2099,-32675,-2797,32615,3494,-32540
653,32756,-980,-32747,1306,32734,-1633,-32717
2704,32592,-4051,-32424,5390,32202,-6721,-31924
4745,32227,-7086,-31713,9390,31030,-11644,-30184
6766,31665,-10058,-30619,13242,29243,-16282,-27550
8762,30908,-12942,-29158,16886,26874,-20521,-24099
10723,29962,-15711,-27346,20265,23972,-24256,-19933
12641,28832,-18342,-25205,23326,20593,-27397,-15176
14510,27525,-20810,-22761,26020,16806,-29867,-9970
16322,26049,-23095,-20044,28306,12684,-31604,-4467
18070,24413,-25175,-17085,30148,8311,-32567,1166
19747,22627,-27033,-13921,31516,3773,-32731,6766
21346,20702,-28653,-10590,32390,-840,-32093,12166
22862,18650,-30018,-7131,32755,-5436,-30669,17205
24288,16484,-31119,-3587,32606,-9925,-28493,21733
25618,14217,-31945,0,31945,-14217,-25618,25618
26847,11862,-32488,3587,30782,-18226,-22115,28743
27971,9434,-32745,7131,29137,-21873,-18070,31015
28986,6949,-32712,10590,27033,-25085,-13582,32369
29886,4421,-32390,13921,24506,-27800,-8762,32762
30669,1866,-31782,17085,21593,-29962,-3726,32184
31331,-700,-30893,20044,18342,-31529,1400,30652
31871,-3262,-29731,22761,14803,-32470,6492,28212
32285,-5804,-28306,25205,11031,-32766,11426,24935
32572,-8311,-26632,27346,7086,-32411,16079,20918
32731,-10767,-24721,29158,3030,-31412,20338,16282
32762,-13156,-22593,30619,-1073,-29790,24099,11163
32664,-15465,-20265,31713,-5160,-27575,27269,5712
32438,-17679,-17758,32424,-9166,-24813,29770,93
32084,-19784,-15093,32747,-13028,-21558,31542,-5528
31604,-21768,-12296,32675,-16685,-17875,32540,-10987
31000,-23619,-9390,32210,-20081,-13837,32741,-16120
30275,-25324,-6401,31359,-23161,-9524,32140,-20774
29430,-26874,-3355,30130,-25878,-5022,30750,-24813
28469,-28259,-280,28539,-28188,-420,28607,-28116
27397,-29471,2797,26604,-30056,4190,25763,-30586
26217,-30501,5850,24350,-31452,8717,22287,-32149
24935,-31345,8852,21803,-32354,13071,18264,-32759
23554,-31996,11775,18994,-32748,17165,13795,-32397
22081,-32451,14594,15957,-32628,20918,8986,-31075
20521,-32706,17284,12727,-31996,24256,3958,-28832
18880,-32761,19822,9345,-30862,27112,-1166,-25734
17165,-32615,22184,5850,-29243,29430,-6263,-21873
15383,-32269,24350,2285,-27165,31163,-11206,-17363
13540,-31724,26301,-1306,-24660,32277,-15875,-12339
11644,-30985,28020,-4883,-21768,32750,-20154,-6949
9702,-30056,29491,-8401,-18535,32572,-23940,-1353
7723,-28942,30702,-11818,-15010,31747,-27138,4282
5712,-27651,31641,-15093,-11250,30292,-29672,9791
3680,-26189,32301,-18187,-7314,28235,-31478,15010
1633,-24568,32675,-21062,-3262,25618,-32512,19784
-420,-22795,32760,-23683,840,22491,-32750,23972
-2471,-20882,32557,-26020,4929,18918,-32184,27448
-4514,-18842,32065,-28044,8942,14969,-30830,30111
-6538,-16685,31290,-29731,12813,10723,-28720,31881
-8537,-14427,30239,-31060,16484,6263,-25906,32706
-10502,-12079,28920,-32016,19896,1679,-22457,32562
-12426,-9658,27346,-32587,22995,-2937,-18458,31452
-14301,-7177,25530,-32766,25734,-7496,-14006,29409
-16120,-4652,23489,-32551,28068,-11905,-9211,26495
-17875,-2099,21240,-31945,29962,-16079,-4190,22795
-19560,466,18803,-30955,31385,-19933,933,18419
-21169,3030,16201,-29592,32316,-23391,6034,13497
-22694,5574,13455,-27874,32739,-26385,10987,8175
-24130,8085,10590,-25820,32649,-28854,15670,2611
-25472,10546,7632,-23456,32046,-30750,19970,-3030
-26713,12942,4606,-20810,30939,-32036,23780,-8582
-27849,15259,1540,-17914,29347,-32685,27007,-13879
-28876,17482,-1540,-14803,27294,-32685,29572,-18765
-29790,19598,-4606,-11513,24813,-32036,31412,-23095
-30586,21593,-7632,-8085,21942,-30750,32482,-26740
-31262,23456,-10590,-4560,18727,-28854,32756,-29592
-31816,25175,-13455,-980,15218,-26385,32227,-31567
-32244,26740,-16201,2611,11469,-23391,30908,-32606
-32546,28140,-18803,6172,7541,-19933,28832,-32678
-32720,29368,-21240,9658,3494,-16079,26049,-31782
-32765,30415,-23489,13028,-606,-11905,22627,-29943
-32682,31276,-25530,16241,-4698,-7496,18650,-27217
-32470,31945,-27346,19259,-8717,-2937,14217,-23683
-32131,32418,-28920,22046,-12598,1679,9434,-19448
-31665,32691,-30239,24568,-16282,6263,4421,-14636
-31075,32765,-31290,26794,-19710,10723,-700,-9390
-30363,32637,-32065,28698,-22828,14969,-5804,-3865
-29532,32308,-32557,30257,-25589,18918,-10767,1773
-28584,31782,-32760,31452,-27947,22491,-15465,7359
-27525,31060,-32675,32269,-29867,25618,-19784,12727
-26357,30148,-32301,32698,-31318,28235,-23619,17718
-25085,29051,-31641,32734,-32277,30292,-26874,22184
-23716,27775,-30702,32376,-32729,31747,-29471,25992
-22252,26329,-29491,31629,-32668,32572,-31345,29029
-20702,24721,-28020,30501,-32093,32750,-32451,31206
-19070,22962,-26301,29007,-31015,32277,-32761,32457
-17363,21062,-24350,27165,-29450,31163,-32269,32747
-15588,19032,-22184,24995,-27423,29430,-30985,32065
-13752,16886,-19822,22525,-24965,27112,-28942,30433
-11862,14636,-17284,19784,-22115,24256,-26189,27898
-9925,12296,-14594,16806,-18918,20918,-22795,24537
-7949,9881,-11775,13625,-15424,17165,-18842,20448
-5942,7405,-8852,10280,-11688,13071,-14427,15752
-3912,4883,-5850,6812,-7768,8717,-9658,10590
-1866,2332,-2797,3262,-3726,4190,-4652,5114
186,-233,280,-326,373,-420,466,-513
2239,-2797,3355,-3912,4467,-5022,5574,-6126
4282,-5344,6401,-7450,8491,-9524,10546,-11557
6309,-7859,9390,-10899,12382,-13837,15259,-16645
8311,-10325,12296,-14217,16079,-17875,19598,-21240
10280,-12727,15093,-17363,19523,-21558,23456,-25205
12209,-15052,17758,-20301,22660,-24813,26740,-28423
14090,-17284,20265,-22995,25442,-27575,29368,-30798
15916,-19410,22593,-25413,27825,-29790,31276,-32261
17679,-21417,24721,-27525,29770,-31412,32418,-32766
19373,-23293,26632,-29306,31248,-32411,32765,-32301
20990,-25025,28306,-30734,32236,-32766,32308,-30877
22525,-26604,29731,-31793,32717,-32470,31060,-28539
23972,-28020,30893,-32470,32685,-31529,29051,-25354
25324,-29264,31782,-32756,32140,-29962,26329,-21417
26577,-30328,32390,-32649,31090,-27800,22962,-16846
27725,-31206,32712,-32149,29552,-25085,19032,-11775
28765,-31892,32745,-31262,27550,-21873,14636,-6355
29692,-32383,32488,-30000,25115,-18226,9881,-746
30501,-32675,31945,-28377,22287,-14217,4883,4883
31192,-32766,31119,-26412,19108,-9925,-233,10369
31759,-32657,30018,-24130,15629,-5436,-5344,15547
32202,-32346,28653,-21558,11905,-840,-10325,20265
32518,-31838,27033,-18727,7994,3773,-15052,24381
32706,-31134,25175,-15670,3958,8311,-19410,27775
32766,-30239,23095,-12426,-140,12684,-23293,30345
32698,-29158,20810,-9031,-4236,16806,-26604,32016
32500,-27898,18342,-5528,-8266,20593,-29264,32738
32176,-26467,15711,-1959,-12166,23972,-31206,32488
31724,-24874,12942,1633,-15875,26874,-32383,31276
31148,-23128,10058,5206,-19335,29243,-32766,29137
30450,-21240,7086,8717,-22491,31030,-32346,26133
29632,-19222,4051,12123,-25294,32202,-31134,22355
28698,-17085,980,15383,-27701,32734,-29158,17914
27651,-14844,-2099,18458,-29672,32615,-26467,12942
26495,-12512,-5160,21311,-31177,31849,-23128,7586
25235,-10103,-8175,23908,-32193,30450,-19222,2006
23876,-7632,-11119,26217,-32704,28446,-14844,-3633
22423,-5114,-13964,28212,-32701,25878,-10103,-9166
20882,-2565,-16685,29867,-32184,22795,-5114,-14427
19259,0,-19259,31163,-31163,19259,0,-19259
17561,2565,-21663,32084,-29652,15341,5114,-23521
15793,5114,-23876,32620,-27676,11119,10103,-27086
13964,7632,-25878,32763,-25265,6675,14844,-29848
12079,10103,-27651,32512,-22457,2099,19222,-31724
10147,12512,-29179,31871,-19297,-2518,23128,-32660
8175,14844,-30450,30846,-15834,-7086,26467,-32628
6172,17085,-31452,29450,-12123,-11513,29158,-31629
4143,19222,-32176,27701,-8221,-15711,31134,-29692
2099,21240,-32615,25618,-4190,-19598,32346,-26874
46,23128,-32766,23227,-93,-23095,32766,-23260
-2006,24874,-32628,20557,4004,-26133,32383,-18956
-4051,26467,-32202,17640,8040,-28653,31206,-14090
-6080,27898,-31491,14510,11949,-30603,29264,-8807
-8085,29158,-30501,11206,15670,-31945,26604,-3262
-10058,30239,-29243,7768,19146,-32653,23293,2378
-11992,31134,-27725,4236,22321,-32712,19410,7949
-13879,31838,-25963,653,25145,-32121,15052,13284
-15711,32346,-23972,-2937,27575,-30893,10325,18226
-17482,32657,-21768,-6492,29572,-29051,5344,22627
-19184,32766,-19373,-9970,31105,-26632,233,26357
-20810,32675,-16806,-13327,32149,-23683,-4883,29306
-22355,32383,-14090,-16524,32688,-20265,-9881,31385
-23812,31892,-11250,-19523,32715,-16444,-14636,32535
-25175,31206,-8311,-22287,32227,-12296,-19032,32720
-26440,30328,-5298,-24783,31234,-7904,-22962,31935
-27600,29264,-2239,-26980,29751,-3355,-26329,30203
-28653,28020,840,-28854,27800,1260,-29051,27575
-29592,26604,3912,-30381,25413,5850,-31060,24130
-30415,25025,6949,-31542,22627,10325,-32308,19970
-31119,23293,9925,-32324,19485,14594,-32765,15218
-31701,21417,12813,-32717,16038,18573,-32418,10014
-32158,19410,15588,-32717,12339,22184,-31276,4514
-32488,17284,18226,-32324,8446,25354,-29368,-1120
-32691,15052,20702,-31542,4421,28020,-26740,-6721
-32766,12727,22995,-30381,326,30130,-23456,-12123
-32712,10325,25085,-28854,-3773,31641,-19598,-17165
-32529,7859,26954,-26980,-7813,32524,-15259,-21698
-32219,5344,28584,-24783,-11731,32760,-10546,-25589
-31782,2797,29962,-22287,-15465,32346,-5574,-28720
-31220,233,31075,-19523,-18956,31290,-466,-31000
-30535,-2332,31914,-16524,-22149,29612,4652,-32361
-29731,-4883,32470,-13327,-24995,27346,9658,-32763
-28810,-7405,32739,-9970,-27448,24537,14427,-32193
-27775,-9881,32720,-6492,-29471,21240,18842,-30669
-26632,-12296,32411,-2937,-31030,17521,22795,-28235
-25383,-14636,31816,653,-32103,13455,26189,-24965
-24035,-16886,30939,4236,-32671,9121,28942,-20954
-22593,-19032,29790,7768,-32727,4606,30985,-16322
-21062,-21062,28377,11206,-32269,0,32269,-11206
-19448,-22962,26713,14510,-31304,-4606,32761,-5758
-17758,-24721,24813,17640,-29848,-9121,32451,-140
-15997,-26329,22694,20557,-27923,-13455,31345,5482
-14174,-27775,20375,23227,-25559,-17521,29471,10943
-12296,-29051,17875,25618,-22795,-21240,26874,16079
-10369,-30148,15218,27701,-19673,-24537,23619,20738
-8401,-31060,12426,29450,-16241,-27346,19784,24783
-6401,-31782,9524,30846,-12555,-29612,15465,28092
-4375,-32308,6538,31871,-8672,-31290,10767,30569
-2332,-32637,3494,32512,-4652,-32346,5804,32140
-280,-32765,420,32763,-560,-32760,700,32757
1773,-32691,-2658,32620,3541,-32524,-4421,32404
3819,-32418,-5712,32084,7586,-31641,-9434,31090
5850,-31945,-8717,31163,11513,-30130,-14217,28854
7859,-31276,-11644,29867,15259,-28020,-18650,25763
9836,-30415,-14468,28212,18765,-25354,-22627,21908
11775,-29368,-17165,26217,21977,-22184,-26049,17403
13667,-28140,-19710,23908,24844,-18573,-28832,12382
